Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,3119574086,12/2/2025 2:38,12/2/2025 11:36,XAUUSD,Buy,0.1,4184.4,0,4226.85,4182.67,-2.11,0,-4418,-443.91,-0.33,Strategy_0_281222[sl 4184.40],1008,00:08:58:13,0,0s,4418,5000,0,0,-4418,-441.8,0,0,-4418,-441.8
,3119476443,12/1/2025 16:45,12/1/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.67,4232.33,-2.12,0,566,54.48,0.04,Strategy_0_281222Strategy_0_281222,1008,00:07:04:57,96.5,6h 50m,1620,0.05,1548,154.8,-72,-7.2,95.6,39.4,-982,-98.2
,3119476432,12/1/2025 16:45,12/1/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.67,4232.33,-2.12,0,566,54.48,0.04,Strategy_0_41868Strategy_0_41868,1010,00:07:04:57,96.5,6h 50m,1620,0.05,1548,154.8,-72,-7.2,95.6,39.4,-982,-98.2
,3119358896,12/1/2025 7:47,12/1/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.52,4232.33,-2.12,0,581,55.98,0.04,Strategy_0_201253Strategy_0_201253,1020,00:16:02:59,96.9,15h 33m,4186,0.18,3542,354.2,-644,-64.4,84.6,29.3,-2961,-296.1
,3119357198,12/1/2025 7:31,12/1/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.98,4232.33,-2.12,0,535,51.38,0.04,Strategy_0_78605Strategy_0_78605,1004,00:16:18:08,97,15h 48m,4186,0.2,3496,349.6,-690,-69,83.5,29.3,-2961,-296.1
,3119357184,12/1/2025 7:31,12/1/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.98,4232.33,-2.12,0,535,51.38,0.04,Strategy_0_49762Strategy_0_49762,1005,00:16:18:08,97,15h 48m,4186,0.2,3496,349.6,-690,-69,83.5,29.3,-2961,-296.1
,3119305785,12/1/2025 2:27,12/1/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.74,4232.33,-2.12,0,559,53.78,0.04,Strategy_0_127373Strategy_0_127373,1016,00:21:22:26,95.8,20h 28m,4186,0.19,3520,352,-666,-66.6,84.1,29.3,-2961,-296.1
,3119305768,12/1/2025 3:09,12/1/2025 23:50,EURUSD,Buy,1,0,0,1.16128,1.16085,-5.8,0,-4.3,-48.8,-0.04,Strategy_0_2478981Strategy_0_2478981,2035,00:20:40:22,50.5,10h 26m,44.3,0.55,38.4,384,-21.2,-212,64.4,28.4,-42.7,-427
,3119288895,12/1/2025 0:15,12/1/2025 20:15,EURUSD,Buy,1,0,0,1.15968,1.16206,-5.81,0,23.8,232.19,0.17,Strategy_0_916158Strategy_0_916158,2042,00:19:59:58,87.1,17h 25m,43.4,0.11,54.4,544,-6.2,-62,89.8,49.5,-30.6,-306
,3119305801,12/1/2025 2:27,12/1/2025 15:45,XAUUSD,Buy,0.1,4261.68,0,4226.74,4261.67,-2.13,0,3493,347.17,0.26,Strategy_0_41868[sl 4261.68],1010,00:13:18:14,95,12h 38m,4186,0.19,3520,352,-666,-66.6,84.1,99.4,-27,-2.7
,3119357201,12/1/2025 7:31,12/1/2025 9:57,XAUUSD,Buy,0.1,0,4245.02,4226.98,4245.17,-2.12,0,1819,179.78,0.13,Strategy_0_281222[tp 4245.02],1008,00:02:25:34,100,2h 25m,1296,0,2606,260.6,0,0,100,69.8,-787,-78.7
,3119299831,12/1/2025 2:27,12/1/2025 6:09,XAUUSD,Buy,0.1,0,0,4226.74,4237.69,-2.12,0,1095,107.38,0.08,Strategy_0_117556,1015,00:03:41:30,88.7,3h 16m,2551,0.33,1919,191.9,-632,-63.2,75.2,67.7,-824,-82.4
,3119305793,12/1/2025 2:27,12/1/2025 6:08,XAUUSD,Buy,0.1,0,0,4226.74,4238,-2.12,0,1126,110.48,0.08,Strategy_0_102747,1007,00:03:41:01,88.7,3h 16m,2551,0.33,1919,191.9,-632,-63.2,75.2,68.9,-793,-79.3
,3119299874,12/1/2025 2:27,12/1/2025 6:03,XAUUSD,Buy,0.1,0,0,4226.74,4237.38,-2.12,0,1064,104.28,0.08,Strategy_0_26708,1012,00:03:35:47,88.4,3h 10m,2551,0.33,1919,191.9,-632,-63.2,75.2,66.5,-855,-85.5
,3119305786,12/1/2025 2:27,12/1/2025 4:00,XAUUSD,Buy,0.1,4254.76,0,4226.74,4254.4,-2.12,0,2766,274.48,0.2,Strategy_0_26743[sl 4254.76],1024,00:01:32:28,100,1h 32m,888,0,2766,276.6,0,0,100,100,0,0
